Location,State,Address,Service Provider,marker-color,lon,lat
Charleston,SC,"4350 Goer Drive, N. Charleston, SC 29406",NS,blue,-80.00191527,32.86882403
Decatur,IL,"3095 E Parkway Drive, Decatur, IL 62526",NS,blue,-88.91199354,39.87081404
Detroit,MI,"8501 Fort Street, Detroit, MI 48209",NS,blue,-83.12252,42.29857677
Elizabeth Marine Terminal,NJ,"Port Newark, Elizabeth City Marine Complex, Elizabeth, NJ 07201",NS,blue,-74.206901,40.66002728
Greensboro,NC,"1105 Merritt Drive, Greensboro, NC 27407",NS,blue,-79.85342127,36.05692022
GCT Bayonne,NJ,"51 Foot of Colony Rd, Jersey City, NJ 07305",NS,blue,-74.082614,40.68114885
Savannah,GA,"3 North Main Street, Garden City, GA 31408",NS,blue,-81.16714988,32.11999782
George Town,KY,"601 Cherry Blossom Way, Georgetown, KY 40324",NS,blue,-84.54524727,38.27190154
Greer,SC,"100 International Commerce Blvd.,Greer, SC 29651",NS,blue,-82.19805073,34.93313893
Harrisburg,PA,"3500 Industrial Road, Harrisburg, PA 17110",NS,blue,-76.888873,40.30574555
Huntsville,AL,"2850 Wall Triana Hwy SW, Huntsville, AL 35824",NS,blue,-86.76013373,34.6412936
Jacksonville,FL,"6098 Soutel Drive, Jacksonville, FL 32219",NS,blue,-81.73075021,30.36907392
Chicago Landers,IL,"7540 S. Western Avenue, Chicago, IL 606207540 S. Western Avenue, Chicago, IL 60620",NS,blue,-87.68441054,41.75586466
Detroit - Livernois,MI,"2725 Livernois Avenue, Detroit, MI 48209",NS,blue,-83.11690626,42.32043604
Cleveland,OH,"5300 Greenhurst Drive, Maple Heights, OH 44137",NS,blue,-81.57490803,41.41534285
Morrisville,PA,"98 Cabot Blvd. East, Langhorne, PA 19047",NS,blue,-74.84460146,40.19088273
Norfolk International,VA,"7737 Hampton Blvd., Norfolk, VA 23505",NS,blue,-76.32559952,36.9200351
Portsmouth APMT,VA,"2704 Josef Theurer Lane, Chesapeake, VA",NS,blue,-76.26556927,36.80380427
Pittsburg,PA,"701 Wall Avenue Wall, PA 15148-1463",NS,blue,-79.776753,40.39705951
Rossville,TN,"3000 Norfolk Southern Way, Rossville, TN 38066-1512",NS,blue,-89.57715978,35.01369745
Rutherford,PA,"5050 Paxton Street, Harrisburg, PA 17111",NS,blue,-76.79336593,40.25970111
Cincinnati - Sharonville,OH,"3155 E. Sharon Road, Sharonville, OH 45241",NS,blue,-84.42372622,39.26439367
St. Louis,MO,"333 East Carrie Avenue, St. Louis, MO 63147",NS,blue,-90.21177123,38.69017659
Taylor,PA,"P.O. Box 31, One Depot Street, Taylor, PA 18517",NS,blue,-75.71193691,41.3846949
Toledo,OH,"2101 Hill Avenue, Toledo, OH 43607",NS,blue,-83.59228546,41.63802573
Front Royal,VA,"Rt. 522 & 344 North, Front Royal, VA 22630",NS,blue,-78.19344867,38.91713579
Kansas City,MO,"4800 North Kimball, Kansas City, MO 64161",NS,blue,-94.4295922,39.18292586
