,gh,Latitude,Longitude
186,2885,28.308838,-82.702936
187,2897,30.7359311,-86.3316568
188,2905,32.3391314,-81.2535668
189,2922,31.2598417,-82.4286451
190,2938,34.9068984,-84.9441823
191,2939,34.2564224,-83.4903487
192,2959,33.056856,-84.1477357
193,2960,33.8037593,-82.4670157
194,2966,31.4051268,-83.5106484
195,3037,33.691602,-84.648581
196,3043,34.4594269,-83.578056
197,3068,33.922541,-84.168998
198,3150,33.1021401,-82.0196254
199,3184,33.74374,-84.943022
200,3219,33.7000884,-84.0810366
201,3249,33.3629418,-84.1273811
202,3250,33.389153,-84.583779
203,3258,34.5506911,-83.3156741
204,3265,32.1988902,-81.4772372
205,3339,34.0445151,-84.0009427
206,3362,29.5683251,-90.72102835000001
207,3367,25.99593749987523,-80.17567900531708
208,3371,34.261901,-92.076308
209,3374,32.65521932826644,-85.359718639222
210,3375,31.83353038796337,-89.44246409169561
211,3379,30.75085523491673,-90.5062945892687
212,3387,32.463366,-86.481795
213,3391,33.9735389,-88.48422049282334
214,3394,32.55103454545455,-93.66138913131314
215,3398,34.89323874683354,-92.1367032149231
216,3401,34.70347892378514,-92.211648638893
217,3404,30.4441306,-90.44212029381578
218,3409,30.29312205,-91.2383627
219,3411,30.04940853567362,-90.68424033251691
220,3414,34.79183443293273,-89.44116857890502
221,3415,36.3706852,-93.57112555
222,3416,35.27840594508056,-93.12325444502392
223,3418,33.72232612672995,-85.78079180804373
224,3420,31.16764084614203,-90.46287927046004
225,3422,34.34356281264931,-89.92302745346394
226,3429,34.41243634615258,-86.9014215221234
227,3443,33.59627354568405,-86.24720301383441
228,3449,31.64317095187207,-93.64213789249465
229,3456,32.52103139580231,-90.09365770244173
230,3458,31.774092,-85.932501
231,3463,30.20654709685409,-91.02022474067932
232,3465,33.10823992671879,-91.25763190173545
233,3468,34.59547698622719,-86.56941948671765
234,3470,35.33521384051615,-94.43325953256463
235,3473,32.76382040093443,-89.1148741104906
236,3474,34.13273987429483,-88.00460287719257
237,3479,33.1313935625,-85.3645820625
238,3480,32.55046894944675,-92.92179715032985
239,3481,30.07853625,-89.85554565957656
240,3483,26.18391645,-80.10561765
241,3500,35.23545725065328,-90.78415680734236
242,3506,28.9216474,-80.8694855
243,3508,34.05640624141023,-86.58425157560157
244,3514,30.83935175,-89.13520851842695
245,3522,30.87907861669295,-87.78807557447307
246,3526,32.5550353,-85.54860838398508
247,3531,33.44058110564973,-94.00618286647855
248,3543,35.49552575205745,-93.84609163719138
249,3547,29.3163044,-81.1067507
250,3551,29.9216489,-90.058776
251,3553,36.16911365,-94.52455395157395
252,3556,36.3582349,-94.1690069
