,Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,Regional or National,marker-color
338,9715 Harrison Rd,,Industrial,2.0,,,B,Existing,20760.0,,$11.99 - 14.65 (Est.),Truck Terminal,"Detroit, MI",Airport District,,,Airport/I-275,Romulus,MI,48174,Wayne,,,,N,2012-02-23 00:00:00,,100.0,,,20760.0,4.24,Single,12/03/2013,26163C0377F,26163C,0377F,No,100-year and 500-year Floodplain,42.234159,-83.316048,Old Dominion Freight Line,National,black
339,2301 Hawkins Point Rd,,Industrial,3.0,,,C,Existing,55256.0,,$10.16 - 12.41 (Est.),Truck Terminal,"Baltimore, MD",Baltimore SE,,,Baltimore City,Curtis Bay,MD,21226,Baltimore City,,,,N,2009-07-20 00:00:00,6000000.0,100.0,1971.0,,55256.0,7.76,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,39.2043628,-76.5723468,Old Dominion Freight Line,National,black
340,2154 Hendersonville Rd,,Industrial,1.0,,,B,Existing,3040.0,,$9.30 - 11.37 (Est.),Truck Terminal,"Asheville, NC",S Asheville/Royal Pines,,,S Asheville/Royal Pines,Arden,NC,28704,Buncombe,,,,N,,,100.0,1989.0,2013.0,3200.0,10.0,Single,01/06/2010,3700965400J,37021C,9654J,No,100-year and 500-year Floodplain,35.4815316,-82.5235874,Old Dominion Freight Line,National,black
341,5601 Holly St,,Industrial,3.0,,,C,Existing,99309.0,,$17.71 - 21.65 (Est.),Truck Terminal,"Denver, CO",East I-70/270,,,East I-70/Montbello,Commerce City,CO,80022-3901,Adams,,,,N,2008-07-07 00:00:00,11000000.0,100.0,1980.0,,99309.0,1.5,Single,11/20/2013,0800460091H,08001C,0091H,No,100-year and 500-year Floodplain,39.8001412,-104.9231172,Old Dominion Freight Line,National,black
342,10626 I St,,Industrial,3.0,,,C,Existing,30675.0,,$7.44 - 9.10 (Est.),Truck Terminal,"Omaha, NE",South Central Omaha,Burr & Temkin,Dave Dandurand,South Central Omaha,Omaha,NE,68127,Douglas,,,,N,2008-11-11 00:00:00,2493354.0,100.0,1975.0,,30675.0,1.13,Single,05/03/2010,31153C0055H,31055C,0055H,No,100-year and 500-year Floodplain,41.218229,-96.079246,Old Dominion Freight Line,National,black
343,200 Independence Ave,,Industrial,1.0,,,C,Existing,42000.0,,$7.60 - 9.28 (Est.),Truck Terminal,"Reno, NV",N Outlying Washoe Cty,,,N Outlying Washoe Cty,Sparks,NV,89434,Washoe,,,,N,,,100.0,2009.0,,42000.0,1.19,Single,03/16/2009,32031C3069G,32031C,3069G,No,100-year and 500-year Floodplain,39.516631,-119.62614,Old Dominion Freight Line,National,black
344,200 Inman Ave,,Industrial,2.0,,,B,Existing,14790.0,,$18.41 - 22.50 (Est.),Truck Terminal,"New York, NY",Carteret/Avenel,,,Brunswick/Piscataway,Avenel,NJ,07001,Middlesex,,,,N,2018-12-20 00:00:00,3900000.0,100.0,1965.0,,14790.0,2.0,Single,07/06/2010,34023C0059F,34023C,0059F,No,100-year and 500-year Floodplain,40.5846681,-74.2779602,Old Dominion Freight Line,National,black
345,300 S Inman Ave,,Industrial,1.0,,,C,Existing,6000.0,,$13.63 - 16.66 (Est.),Truck Terminal,"New York, NY",Carteret/Avenel,,,Brunswick/Piscataway,Avenel,NJ,07001-1650,Middlesex,,,,N,2019-11-18 00:00:00,2550000.0,100.0,1958.0,,6000.0,,Single,07/06/2010,34023C0059F,34023C,0059F,No,100-year and 500-year Floodplain,40.586324,-74.278281,Old Dominion Freight Line,National,black
346,604 Innovation Dr,,Industrial,2.0,,,C,Existing,19000.0,,$4.38 - 5.25 (Est.),Truck Terminal,,Cleveland County,Old Dominion Freight Line,,Cleveland County,Kings Mountain,NC,28086-3190,Cleveland,,,,N,2015-08-27 00:00:00,1100000.0,100.0,1983.0,2016.0,17647.0,,Single,09/16/2011,45021C0125D,37045C,0125D,No,100-year and 500-year Floodplain,35.2325369,-81.3312249,Old Dominion Freight Line,National,black
347,150 International Dr,,Industrial,3.0,,,B,Existing,45800.0,,$10.82 - 13.23 (Est.),Truck Terminal,"Raleigh, NC",RTP/RDU,TFI International Inc,Gianni Mastro,West Wake County,Morrisville,NC,27560,Wake,,,,N,,,100.0,2001.0,,45800.0,3.17,Single,05/02/2006,3720075500J,37183C,0755J,No,100-year and 500-year Floodplain,35.835517,-78.822622,Old Dominion Freight Line,National,black
348,213 International Dr,,Industrial,2.0,,,B,Existing,15888.0,,$9.75 - 10.66 (Est.),Truck Terminal,"Raleigh, NC",RTP/RDU,,,West Wake County,Morrisville,NC,27560,Wake,,,,N,2023-03-22 00:00:00,4100000.0,100.0,1995.0,,15231.0,4.6,Single,05/02/2006,3720075600J,37183C,0756J,No,100-year and 500-year Floodplain,35.8389611,-78.8261492,Old Dominion Freight Line,National,black
349,125 Interstate Dr,ODFL Terminal,Industrial,3.0,,,B,Existing,43275.0,,$11.50 - 14.06 (Est.),Truck Terminal,"Jackson, MS",Outlying Rankin County,Burr & Temkin,,Outlying Rankin County,Jackson,MS,39218,Rankin,,,,N,,,100.0,1982.0,,43275.0,,Single,06/09/2014,28121C0307F,28121C,0307F,No,100-year and 500-year Floodplain,32.2476096,-90.1514179,Old Dominion Freight Line,National,black
350,1501 L E Gilliland Rd,,Industrial,2.0,,,C,Existing,21962.0,,$4.04 - 4.93 (Est.),Truck Terminal,"Texarkana, TX",Arkansas South Area,,,Arkansas Area,Texarkana,AR,71854-3414,Miller,,,,N,2021-06-29 00:00:00,750000.0,100.0,,,17390.0,,Single,12/21/2017,48037C0370E,05091C,0370E,No,100-year and 500-year Floodplain,33.4371448,-94.0054902,Old Dominion Freight Line,National,black
351,201 E La Palma Ave,,Industrial,2.0,,,C,Existing,13000.0,,$12.24 - 14.96 (Est.),Truck Terminal,"Orange County, CA",Anaheim,"Wilson Barnett, Inc.",Stephen Wilson,North County,Anaheim,CA,92801-2523,Orange,,,,N,2018-01-26 00:00:00,9750000.0,100.0,1983.0,,13000.0,2.92,Single,12/03/2009,06059C0131J,06059C,0131J,No,500-year Floodplain,33.8476441,-117.9170987,Old Dominion Freight Line,National,black
